bpm;exercise;ex_note_numb;start-stop;note_numb;note_name;onbeat;t_dt_note_on_ref;t_dt_note_off_ref;note_lng_ref;IOI_ref;prec_rest_ref;string;fret;finger;position;PC;SC;HS;hammer-on;pull-off;bending;dt_note_on;t_dt_note_on;dt_note_off;t_dt_note_off;note_lng;IOI;prec_rest;fllw_rest;velocity
120;1;1;start;76;E5;1;3840;4080;240;3840;3840;1;12;4;9;0;0;0;0;0;0;3808;3808;227;4035;227;3808;3808;6;95
120;1;2;continue;75;Ds5;0;4080;4320;240;240;0;1;11;3;9;0;0;0;0;0;0;6;4041;255;4296;255;233;6;7;80
120;1;3;continue;74;D5;0;4320;4560;240;240;0;1;10;2;9;0;0;0;0;0;0;7;4303;226;4529;226;262;7;7;60
120;1;4;continue;73;Cs5;0;4560;4800;240;240;0;1;9;1;9;0;0;0;0;0;0;7;4536;292;4828;292;233;7;6;80
120;1;5;continue;71;B4;1;4800;5040;240;240;0;2;12;4;9;0;1;0;0;0;0;6;4834;212;5046;212;298;6;7;78
120;1;6;continue;70;As4;0;5040;5280;240;240;0;2;11;3;9;0;0;0;0;0;0;7;5053;265;5318;265;219;7;6;72
120;1;7;continue;69;A4;0;5280;5520;240;240;0;2;10;2;9;0;0;0;0;0;0;6;5324;213;5537;213;271;6;7;49
120;1;8;continue;68;Gs4;0;5520;5760;240;240;0;2;9;1;9;0;0;0;0;0;0;7;5544;265;5809;265;220;7;7;73
120;1;9;continue;67;G4;1;5760;6000;240;240;0;3;12;4;9;0;1;0;0;0;0;7;5816;219;6035;219;272;7;7;77
120;1;10;continue;66;Fs4;0;6000;6240;240;240;0;3;11;3;9;0;0;0;0;0;0;7;6042;256;6298;256;226;7;7;82
120;1;11;continue;65;F4;0;6240;6480;240;240;0;3;10;2;9;0;0;0;0;0;0;7;6305;200;6505;200;263;7;7;71
120;1;12;continue;64;E4;0;6480;6720;240;240;0;3;9;1;9;0;0;0;0;0;0;7;6512;256;6768;256;207;7;7;86
120;1;13;continue;62;D4;1;6720;6960;240;240;0;4;12;4;9;0;1;0;0;0;0;7;6775;208;6983;208;263;7;7;63
120;1;14;continue;61;Cs4;0;6960;7200;240;240;0;4;11;3;9;0;0;0;0;0;0;7;6990;251;7241;251;215;7;2;65
120;1;15;continue;60;C4;0;7200;7440;240;240;0;4;10;2;9;0;0;0;0;0;0;2;7243;188;7431;188;253;2;7;65
120;1;16;continue;59;B3;0;7440;7680;240;240;0;4;9;1;9;0;0;0;0;0;0;7;7438;211;7649;211;195;7;80;69
120;1;17;continue;57;A3;1;7680;7920;240;240;0;5;12;4;9;0;1;0;0;0;0;80;7729;192;7921;192;291;80;7;75
120;1;18;continue;56;Gs3;0;7920;8160;240;240;0;5;11;3;9;0;0;0;0;0;0;7;7928;235;8163;235;199;7;2;68
120;1;19;continue;55;G3;0;8160;8400;240;240;0;5;10;2;9;0;0;0;0;0;0;2;8165;222;8387;222;237;2;7;68
120;1;20;continue;54;Fs3;0;8400;8640;240;240;0;5;9;1;9;0;0;0;0;0;0;7;8394;204;8598;204;229;7;84;73
120;1;21;continue;52;E3;1;8640;8880;240;240;0;6;12;4;9;0;1;0;0;0;0;84;8682;205;8887;205;288;84;7;86
120;1;22;continue;51;Ds3;0;8880;9120;240;240;0;6;11;3;9;0;0;0;0;0;0;7;8894;273;9167;273;212;7;7;76
120;1;23;continue;50;D3;0;9120;9360;240;240;0;6;10;2;9;0;0;0;0;0;0;7;9174;192;9366;192;280;7;13;72
120;1;24;continue;49;Cs3;0;9360;9600;240;240;0;6;9;1;9;0;0;0;0;0;0;13;9379;281;9660;281;205;13;2;76
120;1;25;continue;48;C3;1;9600;9840;240;240;0;6;8;4;5;-4;0;0;0;0;0;2;9662;247;9909;247;283;2;7;84
120;1;26;continue;47;B2;0;9840;10080;240;240;0;6;7;3;5;0;0;0;0;0;0;7;9916;244;10160;244;254;7;6;76
120;1;27;continue;46;As2;0;10080;10320;240;240;0;6;6;2;5;0;0;0;0;0;0;6;10166;212;10378;212;250;6;6;61
120;1;28;continue;45;A2;0;10320;10560;240;240;0;6;5;1;5;0;0;0;0;0;0;6;10384;232;10616;232;218;6;7;64
120;1;29;continue;53;F3;1;10560;10800;240;240;0;5;8;4;5;0;-1;0;0;0;0;7;10623;217;10840;217;239;7;7;68
120;1;30;continue;52;E3;0;10800;11040;240;240;0;5;7;3;5;0;0;0;0;0;0;7;10847;253;11100;253;224;7;7;78
120;1;31;continue;51;Ds3;0;11040;11280;240;240;0;5;6;2;5;0;0;0;0;0;0;7;11107;224;11331;224;260;7;7;64
120;1;32;continue;50;D3;0;11280;11520;240;240;0;5;5;1;5;0;0;0;0;0;0;7;11338;286;11624;286;231;7;7;71
120;1;33;continue;58;As3;1;11520;11760;240;240;0;4;8;4;5;0;-1;0;0;0;0;7;11631;224;11855;224;293;7;7;73
120;1;34;continue;57;A3;0;11760;12000;240;240;0;4;7;3;5;0;0;0;0;0;0;7;11862;246;12108;246;231;7;7;79
120;1;35;continue;56;Gs3;0;12000;12240;240;240;0;4;6;2;5;0;0;0;0;0;0;7;12115;197;12312;197;253;7;7;58
120;1;36;continue;55;G3;0;12240;12480;240;240;0;4;5;1;5;0;0;0;0;0;0;7;12319;249;12568;249;204;7;7;71
120;1;37;continue;63;Ds4;1;12480;12720;240;240;0;3;8;4;5;0;-1;0;0;0;0;7;12575;204;12779;204;256;7;7;97
120;1;38;continue;62;D4;0;12720;12960;240;240;0;3;7;3;5;0;0;0;0;0;0;7;12786;240;13026;240;211;7;7;83
120;1;39;continue;61;Cs4;0;12960;13200;240;240;0;3;6;2;5;0;0;0;0;0;0;7;13033;196;13229;196;247;7;7;59
120;1;40;continue;60;C4;0;13200;13440;240;240;0;3;5;1;5;0;0;0;0;0;0;7;13236;252;13488;252;203;7;7;90
120;1;41;continue;67;G4;1;13440;13680;240;240;0;2;8;4;5;0;-1;0;0;0;0;7;13495;202;13697;202;259;7;7;96
120;1;42;continue;66;Fs4;0;13680;13920;240;240;0;2;7;3;5;0;0;0;0;0;0;7;13704;240;13944;240;209;7;7;75
120;1;43;continue;65;F4;0;13920;14160;240;240;0;2;6;2;5;0;0;0;0;0;0;7;13951;194;14145;194;247;7;7;64
120;1;44;continue;64;E4;0;14160;14400;240;240;0;2;5;1;5;0;0;0;0;0;0;7;14152;232;14384;232;201;7;7;78
120;1;45;continue;72;C5;1;14400;14640;240;240;0;1;8;4;5;0;-1;0;0;0;0;7;14391;232;14623;232;239;7;7;81
120;1;46;continue;71;B4;0;14640;14880;240;240;0;1;7;3;5;0;0;0;0;0;0;7;14630;261;14891;261;239;7;7;52
120;1;47;continue;70;As4;0;14880;15120;240;240;0;1;6;2;5;0;0;0;0;0;0;7;14898;205;15103;205;268;7;7;61
120;1;48;continue;69;A4;0;15120;15360;240;240;0;1;5;1;5;0;0;0;0;0;0;7;15110;272;15382;272;212;7;2;57
120;1;49;continue;68;Gs4;1;15360;15600;240;240;0;1;4;4;1;-4;0;0;0;0;0;2;15384;240;15624;240;274;2;6;101
120;1;50;continue;67;G4;0;15600;15840;240;240;0;1;3;3;1;0;0;0;0;0;0;6;15630;265;15895;265;246;6;7;72
120;1;51;continue;66;Fs4;0;15840;16080;240;240;0;1;2;2;1;0;0;0;0;0;0;7;15902;77;15979;77;272;7;121;38
120;1;52;continue;65;F4;0;16080;16320;240;240;0;1;1;1;1;0;0;0;0;0;0;121;16100;249;16349;249;198;121;7;59
120;1;53;continue;63;Ds4;1;16320;16560;240;240;0;2;4;4;1;0;1;0;0;0;0;7;16356;222;16578;222;256;7;6;80
120;1;54;continue;62;D4;0;16560;16800;240;240;0;2;3;3;1;0;0;0;0;0;0;6;16584;240;16824;240;228;6;7;73
120;1;55;continue;61;Cs4;0;16800;17040;240;240;0;2;2;2;1;0;0;0;0;0;0;7;16831;204;17035;204;247;7;7;53
120;1;56;continue;60;C4;0;17040;17280;240;240;0;2;1;1;1;0;0;0;0;0;0;7;17042;257;17299;257;211;7;6;57
120;1;57;continue;59;B3;1;17280;17520;240;240;0;3;4;4;1;0;1;0;0;0;0;6;17305;227;17532;227;263;6;7;88
120;1;58;continue;58;As3;0;17520;17760;240;240;0;3;3;3;1;0;0;0;0;0;0;7;17539;255;17794;255;234;7;2;70
120;1;59;continue;57;A3;0;17760;18000;240;240;0;3;2;2;1;0;0;0;0;0;0;2;17796;187;17983;187;257;2;7;70
120;1;60;continue;56;Gs3;0;18000;18240;240;240;0;3;1;1;1;0;0;0;0;0;0;7;17990;229;18219;229;194;7;2;77
120;1;61;continue;54;Fs3;1;18240;18480;240;240;0;4;4;4;1;0;1;0;0;0;0;2;18221;261;18482;261;231;2;7;62
120;1;62;continue;53;F3;0;18480;18720;240;240;0;4;3;3;1;0;0;0;0;0;0;7;18489;202;18691;202;268;7;7;52
120;1;63;continue;52;E3;0;18720;18960;240;240;0;4;2;2;1;0;0;0;0;0;0;7;18698;231;18929;231;209;7;7;41
120;1;64;continue;51;Ds3;0;18960;19200;240;240;0;4;1;1;1;0;0;0;0;0;0;7;18936;258;19194;258;238;7;6;64
120;1;65;continue;49;Cs3;1;19200;19440;240;240;0;5;4;4;1;0;1;0;0;0;0;6;19200;233;19433;233;264;6;14;74
120;1;66;continue;48;C3;0;19440;19680;240;240;0;5;3;3;1;0;0;0;0;0;0;14;19447;213;19660;213;247;14;7;69
120;1;67;continue;47;B2;0;19680;19920;240;240;0;5;2;2;1;0;0;0;0;0;0;7;19667;208;19875;208;220;7;2;65
120;1;68;continue;46;As2;0;19920;20160;240;240;0;5;1;1;1;0;0;0;0;0;0;2;19877;253;20130;253;210;2;6;65
120;1;69;continue;44;Gs2;1;20160;20400;240;240;0;6;4;4;1;0;1;0;0;0;0;6;20136;195;20331;195;259;6;2;80
120;1;70;continue;43;G2;0;20400;20640;240;240;0;6;3;3;1;0;0;0;0;0;0;2;20333;250;20583;250;197;2;7;72
120;1;71;continue;42;Fs2;0;20640;20880;240;240;0;6;2;2;1;0;0;0;0;0;0;7;20590;224;20814;224;257;7;2;69
120;1;72;continue;41;F2;0;20880;21120;240;240;0;6;1;1;1;0;0;0;0;0;0;2;20816;265;21081;265;226;2;6;88
120;1;73;continue;48;C3;1;21120;21360;240;240;0;6;8;4;5;4;0;0;0;0;0;6;21087;232;21319;232;271;6;6;75
120;1;74;continue;47;B2;0;21360;21600;240;240;0;6;7;3;5;0;0;0;0;0;0;6;21325;251;21576;251;238;6;2;67
120;1;75;continue;46;As2;0;21600;21840;240;240;0;6;6;2;5;0;0;0;0;0;0;2;21578;225;21803;225;253;2;2;67
120;1;76;continue;45;A2;0;21840;22080;240;240;0;6;5;1;5;0;0;0;0;0;0;2;21805;219;22024;219;227;2;7;67
120;1;77;continue;53;F3;1;22080;22320;240;240;0;5;8;4;5;0;-1;0;0;0;0;7;22031;231;22262;231;226;7;7;71
120;1;78;continue;52;E3;0;22320;22560;240;240;0;5;7;3;5;0;0;0;0;0;0;7;22269;190;22459;190;238;7;7;72
120;1;79;continue;51;Ds3;0;22560;22800;240;240;0;5;6;2;5;0;0;0;0;0;0;7;22466;273;22739;273;197;7;7;55
120;1;80;continue;50;D3;0;22800;23040;240;240;0;5;5;1;5;0;0;0;0;0;0;7;22746;252;22998;252;280;7;7;68
120;1;81;continue;58;As3;1;23040;23280;240;240;0;4;8;4;5;0;-1;0;0;0;0;7;23005;226;23231;226;259;7;7;65
120;1;82;continue;57;A3;0;23280;23520;240;240;0;4;7;3;5;0;0;0;0;0;0;7;23238;239;23477;239;233;7;7;67
120;1;83;continue;56;Gs3;0;23520;23760;240;240;0;4;6;2;5;0;0;0;0;0;0;7;23484;208;23692;208;246;7;7;56
120;1;84;continue;55;G3;0;23760;24000;240;240;0;4;5;1;5;0;0;0;0;0;0;7;23699;239;23938;239;215;7;7;77
120;1;85;continue;63;Ds4;1;24000;24240;240;240;0;3;8;4;5;0;-1;0;0;0;0;7;23945;227;24172;227;246;7;7;102
120;1;86;continue;62;D4;0;24240;24480;240;240;0;3;7;3;5;0;0;0;0;0;0;7;24179;244;24423;244;234;7;7;65
120;1;87;continue;61;Cs4;0;24480;24720;240;240;0;3;6;2;5;0;0;0;0;0;0;7;24430;218;24648;218;251;7;6;71
120;1;88;continue;60;C4;0;24720;24960;240;240;0;3;5;1;5;0;0;0;0;0;0;6;24654;249;24903;249;224;6;7;85
120;1;89;continue;67;G4;1;24960;25200;240;240;0;2;8;4;5;0;-1;0;0;0;0;7;24910;241;25151;241;256;7;6;99
120;1;90;continue;66;Fs4;0;25200;25440;240;240;0;2;7;3;5;0;0;0;0;0;0;6;25157;245;25402;245;247;6;7;85
120;1;91;continue;65;F4;0;25440;25680;240;240;0;2;6;2;5;0;0;0;0;0;0;7;25409;188;25597;188;252;7;7;53
120;1;92;continue;64;E4;0;25680;25920;240;240;0;2;5;1;5;0;0;0;0;0;0;7;25604;255;25859;255;195;7;2;82
120;1;93;continue;72;C5;1;25920;26160;240;240;0;1;8;4;5;0;-1;0;0;0;0;2;25861;219;26080;219;257;2;7;68
120;1;94;continue;71;B4;0;26160;26400;240;240;0;1;7;3;5;0;0;0;0;0;0;7;26087;276;26363;276;226;7;7;75
120;1;95;continue;70;As4;0;26400;26640;240;240;0;1;6;2;5;0;0;0;0;0;0;7;26370;103;26473;103;283;7;121;47
120;1;96;continue;69;A4;0;26640;26880;240;240;0;1;5;1;5;0;0;0;0;0;0;121;26594;143;26737;143;224;121;141;55
120;1;97;continue;76;E5;1;26880;27120;240;240;0;1;12;4;9;4;0;0;0;0;0;141;26878;231;27109;231;284;141;7;68
120;1;98;continue;75;Ds5;0;27120;27360;240;240;0;1;11;3;9;0;0;0;0;0;0;7;27116;274;27390;274;238;7;7;73
120;1;99;continue;74;D5;0;27360;27600;240;240;0;1;10;2;9;0;0;0;0;0;0;7;27397;201;27598;201;281;7;7;64
120;1;100;continue;73;Cs5;0;27600;27840;240;240;0;1;9;1;9;0;0;0;0;0;0;7;27605;261;27866;261;208;7;7;72
